IdPeriodo,Periodo,Horario
1,PM,07:30 - 08:30
2,PMD,12:45 - 13:45
3,PT,17:45 - 19:00
4,FP,07:00-07:30 ; 08:30 - 12:45 ; 13:45 - 17:45 ; 19:00 - 23:00
5,Resto,00:00 - 07:00 ; 23:00 - 00:00
