IDComuna,Comuna,IDZonaManzana,Descripción
-1,Sin información,,
0,Otra Comuna,0,Comuna Externa
1,Valdivia,66,Comuna Externa
2,Niebla,66,Comuna Externa
3,Corral,66,Comuna Externa
4,Futrono,66,Comuna Externa
5,La Unión,66,Comuna Externa
6,Lago Ranco,66,Comuna Externa
7,Lanco,66,Comuna Externa
8,Los Lagos,66,Comuna Externa
9,Máfil,66,Comuna Externa
10,Mariquina,66,Comuna Externa
11,Paillaco,66,Comuna Externa
12,Panguipulli,66,Comuna Externa
13,Río Bueno,66,Comuna Externa
