IDServiciosTxc,NombreServiciosTxc,Descripcion
0,sin informacion,no es un viaje en txc
1,Otra Línea,Otra Línea
2,1 Verde,1 Verde
3,10 Verde,10 Verde
4,50 Verde,50 Verde
5,110 Verde ,110 Verde 
6,150 Verde,150 Verde
7,1010 Verde,1010 Verde
8,7 Azul,7 Azul
9,45 Azul,45 Azul
10,450 Azul,450 Azul
11,15 Naranjo,15 Naranjo
12,55 Naranjo,55 Naranjo
13,115 Naranjo,115 Naranjo
14,20 Amarillo,20 Amarillo
15,20 R Amarillo,20 R Amarillo
16,21 Amarillo,21 Amarillo
