IDMACROZONA,Macrozona
1.0,01_Isla Teja
2.0,02_Centro
3.0,03_General Lagos
4.0,04_Pedro Montt
5.0,05_Las Mulatas
6.0,06_Francia Norte
7.0,07_Francia Sur
8.0,08_Picarte Sur
9.0,09_Holzpafel
10.0,10_Collico
11.0,11_Las Ánimas
12.0,12_Poniente
13.0,13_Externo
