IDFolio,IDpersona,IDLicenciaConducir,IDTipoLicenciaConducir
7019900,1,1,6
7019900,2,1,6
7019900,3,2,0
7019900,4,2,0
7025003,1,1,6
7025003,2,2,0
7025003,3,2,0
7025009,1,2,0
7025009,2,2,0
7025009,3,2,0
7025011,1,1,6
7025011,2,2,0
7025011,3,2,0
7025012,1,1,6
7025012,2,1,1
7025012,3,2,0
7025012,4,2,0
7025016,1,2,0
7025016,2,2,0
7033001,1,1,6
7033001,2,1,6
7033002,1,2,0
7033002,2,2,0
7033002,3,2,0
7033003,1,2,0
7033003,2,2,0
7033003,3,2,0
7039005,1,1,6
7039005,2,1,6
7039005,3,1,6
7039007,1,1,6
7039007,2,1,6
7039007,3,2,0
7039016,1,1,6
7039016,2,2,0
7039020,1,2,0
7039020,2,2,0
7039020,3,2,0
7039021,1,2,0
7039021,2,2,0
7040003,1,1,6
7040003,2,2,0
7040003,3,1,6
7040003,4,2,0
7040011,1,2,0
7040011,2,2,0
7040011,3,2,0
7040012,1,1,6
7040012,2,2,0
7040012,3,1,6
7040012,4,2,0
7040013,1,2,0
7040013,2,2,0
7040014,1,1,6
7045009,1,1,6
7045009,2,1,6
7045009,3,2,0
7045009,4,2,0
7045015,1,1,6
7045015,2,1,6
7045015,3,1,6
7045015,4,1,6
7045015,5,2,0
7052014,1,2,0
7052014,2,1,6
7053001,1,1,6
7053001,2,2,0
7053001,3,2,0
7053002,1,1,6
7053002,2,2,0
7053002,3,1,6
7053002,4,2,0
7053003,1,1,6
7053004,1,1,1
7053004,2,1,6
7053004,3,1,6
7053004,4,1,6
7053004,5,1,6
7062005,1,2,0
7062006,1,1,6
7062006,2,2,0
7062009,1,1,6
7062009,2,2,0
7062010,1,2,0
7062010,2,1,6
7062012,1,1,6
7062012,2,2,0
7062013,1,2,0
7062015,1,1,6
7062015,2,2,0
7062015,3,2,0
7062016,1,2,0
7062016,2,2,0
7062023,1,2,0
7062023,2,2,0
7062023,3,2,0
8004008,1,2,0
8004008,2,1,1
8004008,3,2,0
8004008,4,2,0
8004018,1,1,2
8004018,2,2,0
8004021,1,1,6
8004021,2,2,0
8004021,3,2,0
8004028,1,2,0
8004028,2,2,0
8004028,3,2,0
8004028,4,2,0
8004900,1,1,6
8004900,2,2,0
8004901,1,2,0
8004902,1,1,6
8013001,1,1,6
8013001,2,1,6
8013005,1,1,6
8013005,2,1,6
8013006,1,1,6
8013006,2,1,6
8013006,3,1,6
8013006,4,1,6
8013010,1,1,6
8013010,2,1,6
8013014,1,2,0
8013014,2,2,0
8013014,3,2,0
8013014,4,2,0
8013014,5,2,0
8013014,6,2,0
8013014,7,2,0
8020039,1,2,0
8020043,1,1,6
8020043,2,2,0
8020043,3,2,0
8020043,4,2,0
8020052,1,2,0
8020052,2,1,6
8020054,1,1,6
8020054,2,1,6
8020900,1,1,6
8020900,2,2,0
8020901,1,2,0
8020901,2,2,0
8020903,1,2,0
8020903,2,1,6
8020904,1,2,0
8020904,2,2,0
8020905,1,1,6
8020905,2,1,6
8020905,3,2,0
8020905,4,2,0
8020906,1,1,2
8020906,2,1,6
8020906,3,1,6
8020906,4,2,0
8020906,5,2,0
8032006,1,2,0
8032006,2,1,1
8032006,3,1,6
8032008,1,1,6
8032008,2,2,0
8032012,1,2,0
8032012,2,1,6
8032012,3,1,6
8032014,1,2,0
8032016,1,1,6
8032016,2,2,0
8032016,3,2,0
8032016,4,2,0
8032016,5,2,0
8045008,1,1,6
8045008,2,2,0
8045008,3,1,6
8045008,4,2,0
8045008,5,2,0
8045017,1,2,0
8045017,2,2,0
