Zona,FactorExpansion
1,50.16666666666666
2,19.58073473173952
3,39.19971308600197
4,21.254628671396933
5,35.92510290747619
6,26.850209979639555
7,28.881902426170143
8,24.444910072088238
9,32.00911530955546
10,21.97096113942256
11,47.86971614659774
12,32.48795733322797
13,33.833333333333336
14,39.24096385542168
15,40.26190476190476
16,43.60416666666666
17,25.409836065573767
18,50.725915985273545
19,41.60764487448265
20,20.309681354979578
21,30.205882352941174
22,21.416428612840093
23,19.552052014847323
24,22.963636363636365
25,18.903276275619067
26,36.19354838709677
27,27.847650451031342
28,12.694758031916626
29,24.802114018546444
30,25.055555555555557
31,138.63313164561671
32,12.641641889523669
33,27.35250393487729
34,31.32558139534884
35,30.176608396998464
36,34.3595046104438
37,33.084717193012835
38,15.907719581345892
39,28.175699169354697
40,31.340324559044145
41,35.18413272109444
42,39.72439693159093
43,30.020810645129924
44,28.19397309049438
45,37.819794206238925
46,33.39419479385223
47,22.229105591452328
48,31.38059620383881
49,50.481581730265944
50,35.056653979351346
51,15.138100581992632
52,35.189026806279784
53,10.0
54,0.0
55,40.32963829690668
56,26.13314205733464
57,32.22587603770319
58,60.79142496873882
59,25.65509677579803
60,24.06161250400933
61,29.240436387322607
62,26.048957982598637
63,20.01621856240384
64,19.95552223246421
65,28.065884270858998
66,30.10747929991351
67,44.154000549199544
68,33.35938741966643
69,42.71560960080828
70,25.29592592743364
71,38.54885048009413
72,52.929485481888115
73,32.90402506561227
74,49.07931557109189
75,30.986025975963855
76,0.0
77,83.8969469096749
78,75.0
79,31.47019219580439
80,37.1082649792793
81,24.86852581610659
82,53.023189143768924
83,30.81222041609117
84,52.664655182616464
85,28.314989752553014
86,2.7089232620407855
87,0.0
88,0.9560905630732188
89,2.5
90,38.1241112025446
91,0.0
