IDFolio,Ingreso,Estrato,EstratoAgregado,Imputados
73013005,500000.0,2_MEDIO,2_MEDIO,0
73013008,700000.0,2_MEDIO,2_MEDIO,0
73013014,180000.0,1_BAJO,1_BAJO,0
73013016,700000.0,2_MEDIO,2_MEDIO,0
73013023,800000.0,2_MEDIO,2_MEDIO,0
73013026,700000.0,2_MEDIO,2_MEDIO,0
73013027,1075000.0,3_ALTO,3_ALTO,0
73014003,790000.0,2_MEDIO,2_MEDIO,0
73014004,550000.0,2_MEDIO,2_MEDIO,0
73014010,550000.0,2_MEDIO,2_MEDIO,0
73014011,575000.0,2_MEDIO,2_MEDIO,0
74005003,240000.0,1_BAJO,1_BAJO,1
74005008,320000.0,1_BAJO,1_BAJO,0
74005009,825000.0,2_MEDIO,2_MEDIO,0
74005014,325000.0,1_BAJO,1_BAJO,0
74011010,535000.0,2_MEDIO,2_MEDIO,0
74011011,375000.0,2_MEDIO,2_MEDIO,0
74011012,665000.0,2_MEDIO,2_MEDIO,0
74011023,375000.0,2_MEDIO,2_MEDIO,0
74011024,1125000.0,3_ALTO,3_ALTO,0
74011027,410000.0,2_MEDIO,2_MEDIO,0
74035004,600000.0,2_MEDIO,2_MEDIO,1
74035009,910000.0,2_MEDIO,2_MEDIO,0
74035016,1075000.0,3_ALTO,3_ALTO,0
74035019,450000.0,2_MEDIO,2_MEDIO,0
74035025,1025000.0,3_ALTO,3_ALTO,0
74035029,700000.0,2_MEDIO,2_MEDIO,0
74035900,250000.0,1_BAJO,1_BAJO,0
74035902,375000.0,2_MEDIO,2_MEDIO,0
75005002,925000.0,2_MEDIO,2_MEDIO,0
75005005,825000.0,2_MEDIO,2_MEDIO,0
75005013,935000.0,2_MEDIO,2_MEDIO,0
75005017,1000000.0,2_MEDIO,2_MEDIO,0
75005019,250000.0,1_BAJO,1_BAJO,0
75019063,875000.0,2_MEDIO,2_MEDIO,0
75019073,1150000.0,3_ALTO,3_ALTO,0
75019900,700000.0,2_MEDIO,2_MEDIO,0
75019901,1025000.0,3_ALTO,3_ALTO,0
75019902,950000.0,2_MEDIO,2_MEDIO,0
75019903,700000.0,2_MEDIO,2_MEDIO,0
75019904,1875000.0,3_ALTO,3_ALTO,0
75019905,160000.0,1_BAJO,1_BAJO,0
75019906,700000.0,2_MEDIO,2_MEDIO,0
75019907,1250000.0,3_ALTO,3_ALTO,0
75023001,575000.0,2_MEDIO,2_MEDIO,0
75023003,480000.0,2_MEDIO,2_MEDIO,0
75023007,450000.0,2_MEDIO,2_MEDIO,0
75023010,450000.0,2_MEDIO,2_MEDIO,0
75023014,1160000.0,3_ALTO,3_ALTO,0
75023016,775000.0,2_MEDIO,2_MEDIO,0
75029001,300000.0,1_BAJO,1_BAJO,0
75029007,1000000.0,2_MEDIO,2_MEDIO,0
75029010,700000.0,2_MEDIO,2_MEDIO,0
75029012,250000.0,1_BAJO,1_BAJO,0
75029014,575000.0,2_MEDIO,2_MEDIO,0
75029015,960000.0,2_MEDIO,2_MEDIO,0
75029020,480000.0,2_MEDIO,2_MEDIO,0
75033025,500000.0,2_MEDIO,2_MEDIO,0
75033042,60000.0,1_BAJO,1_BAJO,0
75033055,500000.0,2_MEDIO,2_MEDIO,0
75033088,450000.0,2_MEDIO,2_MEDIO,0
75033900,250000.0,1_BAJO,1_BAJO,0
75033905,700000.0,2_MEDIO,2_MEDIO,0
75033907,785000.0,2_MEDIO,2_MEDIO,0
75033908,775000.0,2_MEDIO,2_MEDIO,0
75033910,450000.0,2_MEDIO,2_MEDIO,0
75033911,355000.0,2_MEDIO,2_MEDIO,0
75033912,580000.0,2_MEDIO,2_MEDIO,0
