IDMACROZONA,Macrozona
1.0,01_Centro
2.0,02_Oriente
3.0,03_Nor poniente
4.0,04_Centro poniente
5.0,05_Sur poniente
6.0,06_Sur
7.0,07_Poniente
8.0,08_Norte
9.0,09_Externo
