IDFolio,IDNumVehiculo,TipoVehiculo,IDMarca,AgnoFabricacion,Cilindrada,TipoMotor,SelloVerde,VehiculoEmpresa,TieneTag,trabajo,Modelo
4011022,2,3,118,1995,2500,1,1,2,2,2,RANGER              
4015003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4015004,1,1,71,2009,1600,1,1,2,2,2,CORSA               
4015005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4015008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4015010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4015011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4015015,3,3,71,2007,2500,2,1,2,2,2,LUV                 
4021901,91,1,110,2006,1200,1,1,2,2,2,PALIO               
4021902,73,2,400,2003,200,1,1,2,2,2,DSR                 
4021903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4021904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4024039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4024043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4024046,75,1,197,2011,1600,1,1,2,2,2,RIO                 
4024052,87,1,166,2011,1600,1,1,2,2,2,CERATO              
4026002,104,1,352,2010,1200,1,1,2,2,2,FORESTER            
4026002,105,1,279,2011,1600,1,1,2,2,2,404                 
4026002,106,3,231,2012,1500,1,1,2,2,2,XXX                 
4026005,71,1,356,2012,1400,1,1,2,2,2,SX4                 
4026005,74,3,118,2011,1600,2,1,2,2,2,F-150               
4026006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4026021,85,1,166,2012,1300,1,1,2,2,2,sonata              
4033013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4033017,146,1,269,2008,1600,1,1,2,2,2,V16                 
4033017,147,1,269,1999,1600,1,2,2,2,2,Sentra 2            
4033018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
4033019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5007002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5007026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5007028,4,1,269,2013,1600,1,1,2,2,2,caschca             
5007903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022906,104,1,166,2005,1300,1,1,2,2,2,Getz                
5022907,105,6,73,2004,3100,1,1,2,2,2,Caravan             
5022907,106,3,269,2012,2500,2,1,2,2,2,Terrano             
5022907,107,1,118,2000,1800,1,1,2,2,2,Mondeo              
5022909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
5022910,118,3,71,2003,1600,2,1,-1,2,-1,corsa               
5027901,112,1,71,2012,1600,1,2,2,2,2,optra               
5027902,113,3,166,2011,1800,1,1,2,2,2,SANTA FE            
5027903,114,3,197,2011,2000,1,1,2,2,2,Sorento             
5027904,115,3,269,2002,3200,2,1,2,2,2,Terrano             
5027904,116,3,166,2008,2000,1,1,2,2,2,Tucson              
5027904,117,1,75,2008,1000,1,1,2,2,2,C1                  
6001901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6001903,110,1,166,2005,1300,1,1,2,2,2,Getz                
6001905,111,3,356,1998,1600,1,2,2,2,2,Vitara              
6001906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6001907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6002901,99,1,166,2010,1900,1,1,2,2,2,TUCSON              
6002902,100,1,250,2011,1900,1,1,2,-1,2,LANCER              
6002903,101,1,71,2007,1900,1,1,2,2,2,CORSA               
6002904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
6002905,102,4,197,1997,1900,2,2,2,2,-1,Besta               
6002905,103,6,166,2008,2100,2,1,2,2,-1,H1                  
7001005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7001006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7001008,6,1,85,2010,1200,1,1,2,2,2,terios              
7001009,7,1,279,1996,1400,1,1,2,2,2,104                 
7006004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7006014,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7006015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7008016,93,1,274,1994,1400,1,2,2,2,2,ASTRA               
7008016,94,3,231,2009,2000,2,2,2,2,2,SKORPIO             
7008016,95,1,356,2013,1600,1,1,2,2,2,S X 4               
7008020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
7008023,5,1,367,1986,1600,1,2,2,2,2,tercel              
7008036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8001901,157,1,110,2003,1300,1,1,2,2,2,Palio               
8001902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8001903,158,1,83,2007,1500,1,2,2,2,2,?                   
8005011,10,1,302,2003,1600,1,1,2,2,2,CLIO                
8005012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8005013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8005025,21,1,384,1989,2000,1,2,2,2,2,SANTANA             
8007007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8007008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8007011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8007906,9,3,166,2009,2000,2,1,2,2,2,TUCSON              
8008040,5,1,274,1979,1400,1,2,2,2,2,ASTRA               
8008901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8008902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8008903,6,1,302,2005,1300,1,1,2,2,2,CLIO                
8011002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8011009,1,1,197,2011,1600,1,1,2,2,2,morning             
8011011,3,1,71,2000,1600,1,1,-1,2,2,CORSA               
8011017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8011018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8015002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8015004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8015006,4,3,118,1998,2300,1,1,2,2,-1,RANGER              
8015007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8019005,178,1,250,1990,1600,1,2,2,2,2,Lancer              
8019015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8019901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8019902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8019903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8023002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8023005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
8023008,2,1,71,1994,2300,1,1,2,2,-1,luv                 
8023009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9003002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9003008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9003009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
9003012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10003004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10003016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10003019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10003021,1,1,352,1997,800,1,1,2,2,2,maruti              
10006003,26,1,71,2012,2000,1,1,2,2,2,sail                
10006005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10006006,12,3,166,1999,2500,2,1,2,2,2,galoper             
10006007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008905,86,1,110,1991,1600,1,2,2,2,2,175                 
10008907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10008910,87,1,367,2008,4000,1,1,2,2,2,RUNNER              
10008910,88,3,71,1970,5700,1,2,2,2,2,C10                 
10008911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10009901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10009902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10009903,95,1,166,2009,1800,1,1,2,2,2,AXE                 
10009904,96,1,38,1991,1900,1,2,2,2,2,320I                
10009904,97,3,356,1998,2100,1,2,2,2,2,RUGBY               
10009905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10010901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10014004,3,3,118,1997,2200,1,1,2,2,2,scort               
10014015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10014017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10014019,2,1,197,2013,1000,1,1,2,2,2,morning             
10014025,4,3,356,2000,22,1,1,2,2,2,vitara              
10018003,5,1,85,2008,1600,1,1,2,2,2,teria               
10018003,6,2,156,2013,150,1,1,2,2,2,150                 
10018005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
10018008,7,3,118,1997,2200,1,1,2,2,2,ranger              
10018008,18,1,71,2013,1600,1,1,2,2,-1,corsa               
10018017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11002035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11002097,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11002106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11002905,8,1,71,2010,1200,1,1,2,2,2,SPARK               
11005001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11005005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11005010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11005030,2,1,83,1996,1600,1,1,2,2,2,jee                 
11005041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11007002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11007006,4,1,85,1996,1800,1,1,2,2,2,sg                  
11007012,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11007017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11010013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11010016,7,1,269,2013,1600,1,1,2,2,2,Tiida               
11010017,5,3,71,2005,2100,1,1,2,2,2,Apache              
11010902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11010903,17,1,197,1999,1600,1,1,2,2,2,Abbela 3            
11013022,14,1,356,2005,2000,1,2,2,2,2,Gran nomade         
11013032,13,1,279,2010,1600,1,1,2,2,2,206                 
11013037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11013901,15,1,279,2000,1600,1,1,2,2,2,306                 
11017002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11017004,8,3,269,2006,2200,2,1,2,2,2,                    
11017009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11017022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11019003,10,3,71,2010,2000,2,1,2,2,2,Dima                
11019004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11019005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11019010,9,3,242,1990,2200,2,2,2,2,2,                    
11021001,18,3,367,1996,2400,1,1,2,2,2, hilux 4x4          
11021002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11021011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
11021026,19,1,367,2000,2000,1,2,2,2,2,steichon            
12002002,1,1,356,2004,1300,1,1,2,2,2,ignis               
12002004,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12002006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12002009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12005011,29,1,269,1991,1600,1,2,2,2,2,bluebird            
12005015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12005016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12007901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12007902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12007903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12007904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12007905,101,1,269,1996,4000,2,1,2,2,2,SERENA              
12007906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12008001,2,3,71,1993,1600,1,2,2,2,2,luv                 
12008003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12008013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12008015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12012904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12013901,81,1,269,1996,2100,1,2,2,2,2,v16                 
12013902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12013903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12013904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12013905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12016001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12016003,9,3,352,2010,2200,1,1,2,2,2,forester            
12016005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12016006,10,1,197,2005,1600,1,1,2,2,2,cerato              
12016006,21,1,356,2002,1600,1,1,2,2,2,baleno              
12022010,12,1,367,2007,1300,1,1,2,-1,2,yaris               
12026901,82,1,71,2006,2100,1,1,2,2,2,optra               
12026902,83,1,83,2002,2100,1,1,2,2,2,lanus               
12026902,84,1,341,2006,2100,2,1,-1,-1,-1,rexton              
12026903,85,3,269,2013,2100,2,1,-1,2,-1,Navara              
12026904,88,1,367,2005,2100,1,1,2,2,2,yaris               
12026905,89,1,75,2000,2100,1,1,2,2,2,xara                
12026905,90,1,85,2008,2100,1,1,2,2,2,teyo                
12028003,3,1,243,2011,2200,2,1,2,2,2,c220                
12028014,5,3,269,2012,9999,2,1,2,2,2,navara              
12028014,6,1,71,2012,9999,1,1,2,2,2,spark               
12028016,4,1,197,2000,1300,1,1,2,2,2,rio                 
12028017,7,1,243,1976,2300,1,2,2,2,2,2304                
12028017,8,3,242,2008,2500,2,1,2,2,2,bt-50               
12032004,12,4,197,2006,2700,2,1,2,2,-1,besta               
12032004,13,1,131,2013,1300,1,1,2,2,2,sedan               
12032005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12032010,14,1,71,2009,1300,1,1,2,2,2,corsa               
12032012,15,1,75,2013,1600,1,2,2,2,2,multispace          
12036901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12041006,11,1,367,2003,1500,1,2,2,2,2,tercel              
12041021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12041038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12041043,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12044006,1,1,166,1996,1500,1,2,2,2,2,Accent              
12044009,2,3,250,1998,3500,1,2,2,2,2,pajero              
12044013,4,1,71,2011,1400,1,2,2,2,2,sail                
12044017,3,1,269,1996,1600,1,2,2,2,2,Centra              
12048006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12048010,5,1,352,1995,2000,1,2,2,2,2,lEGACY              
12048011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12048013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12048014,16,1,367,2007,1500,1,1,-1,2,-1,new yaris           
12051000,7,1,110,2005,1300,1,2,2,2,2,siena               
12051006,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12051007,10,1,85,1988,1300,1,2,2,2,2,charade             
12051014,9,1,71,2007,1800,1,2,2,2,2,spark               
12054007,20,3,197,2012,2400,1,1,2,-1,2,sorento             
12054007,21,1,166,2009,1600,1,1,2,2,2,accent              
12054014,22,1,71,2007,1400,1,1,2,2,2,aveo                
12054014,23,3,71,1994,1600,1,2,2,2,2,luv                 
12054014,24,1,197,2013,1400,1,1,2,2,2,rio 5               
12054027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
12054030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13004010,86,1,356,2010,1300,1,1,2,2,2,alto                
13004011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13004014,89,1,356,2009,1400,1,1,2,2,2,alto                
13004014,90,3,269,2003,2300,1,1,2,2,2,terrano             
13004015,87,1,367,2009,1600,1,1,2,2,2,yaris               
13004015,88,1,356,2007,1400,1,1,2,2,2,alto                
13006901,86,1,279,1991,2100,1,2,2,2,2,505                 
13006902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13006903,91,8,229,1997,2500,2,2,2,2,-1,DM6905              
13011004,25,1,250,2004,1200,1,1,2,2,2,Lanser              
13011014,33,3,269,1993,1300,1,2,2,2,2,Patfinder           
13011015,34,3,95,1996,1300,1,2,2,2,-1,Dakota              
13011016,26,1,302,2008,1200,1,1,2,2,2,MEGANE              
13011016,27,8,118,1969,1600,2,2,2,2,-1,F600                
13011016,28,2,156,2009,1300,1,1,2,2,-1,Elite               
13011022,29,1,317,2012,1200,1,1,2,2,2,Cedan               
13011022,30,3,356,2013,1300,1,1,2,2,-1,                    
13015003,38,3,118,2007,1200,2,1,-1,2,-1,Rangler             
13015007,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13015008,35,1,384,2000,1200,1,2,2,2,2,Golf                
13015008,36,3,367,1997,1200,1,2,-1,2,-1,Hilux               
13015008,37,3,356,2008,1200,1,1,-1,2,-1,Jimny               
13015901,32,1,302,1994,1200,1,2,2,2,2,Clio                
13015902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13023005,31,1,302,2000,1300,1,1,2,2,2,Clio                
13023011,22,1,71,2012,1200,1,2,2,2,2,sail                
13023011,39,1,279,2002,1200,1,1,2,2,2,306                 
13023014,24,3,279,2004,1300,1,1,2,2,-1,partner             
13023016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
13023017,23,6,409,2012,1600,1,1,2,2,2,aucce               
14002901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14002902,93,1,279,2003,1400,1,1,2,2,2,206                 
14002903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14002904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14005018,110,1,166,2011,1600,1,1,2,2,2,GETZ                
14005901,91,3,269,1996,2000,1,1,2,2,2,TERRANO             
14005902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14005903,92,1,367,2000,1500,1,1,2,2,2,YARIS               
14008004,12,1,71,2010,1600,1,1,2,2,2,CORSA               
14008009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14008901,11,1,279,2012,1600,1,1,2,2,2, 206                
14008902,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14010015,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14010016,104,1,71,2011,1100,1,1,2,2,2,SPARK               
14010018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14010019,87,3,95,1998,2100,2,2,2,2,2,dakota              
14010022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14014030,86,1,71,2008,1300,1,2,2,2,2,spark               
14014052,85,1,71,2010,1600,1,2,2,2,2,aveo                
14014901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No aplica
14014902,103,3,197,2006,2300,1,1,2,2,2,SPORTAGE            
15006001,108,1,71,2011,1400,1,1,2,2,2,SPARK               
15006001,109,1,279,2010,1600,1,1,2,2,2,206                 
