IDFolio,IDPersona,IDViaje,ZonaOrigen,ComunaOrigen,ZonaDestino,ComunaDestino,Proposito,PropositoEstraus,IDModo,IDModoAgregado,HoraInicio,HoraTermino,HoraMedia,TiempoViaje,CuadrasCaminadas,MinutosCaminados,IDPeriodos,IDPeriodosMedicionFlujos,ManzanaOri,ManzanaDes
526264,4,1,39,4102,17,4102,11,2,4,2,9:15:00 AM,10:00:00 AM,9:37:00 AM,12:45:00 AM,3,5,2,2,6022,4512
526264,3,4,39,4102,39,4102,6,2,7,5,2:11:00 PM,2:16:00 PM,2:13:00 PM,12:05:00 AM,1,5,2,0,6017,6022
526264,3,3,39,4102,39,4102,10,2,7,5,2:00:00 PM,2:05:00 PM,2:02:00 PM,12:05:00 AM,1,5,2,0,6022,6017
526264,3,2,12,4102,39,4102,6,2,3,2,12:00:00 PM,12:35:00 PM,12:18:00 PM,12:35:00 AM,2,4,2,0,4950,6022
526264,3,1,39,4102,12,4102,11,2,3,2,9:00:00 AM,9:35:00 AM,9:18:00 AM,12:35:00 AM,2,3,2,0,6022,4950
526264,2,2,13,4102,39,4102,6,0,3,2,8:45:00 PM,9:00:00 PM,8:53:00 PM,12:15:00 AM,2,3,5,0,5317,6022
526264,2,1,39,4102,13,4102,1,0,3,2,7:30:00 AM,7:55:00 AM,7:42:00 AM,12:25:00 AM,2,3,1,1,6022,5317
526264,1,4,39,4102,39,4102,6,2,7,5,5:10:00 PM,5:14:00 PM,5:12:00 PM,12:04:00 AM,2,4,2,0,6017,6022
526264,1,3,39,4102,39,4102,10,2,7,5,5:00:00 PM,5:04:00 PM,5:02:00 PM,12:04:00 AM,2,4,2,0,6022,6017
526264,1,2,17,4102,39,4102,6,2,4,2,1:30:00 PM,2:10:00 PM,1:50:00 PM,12:40:00 AM,2,3,2,0,4512,6022
526264,1,1,39,4102,17,4102,10,2,3,2,10:00:00 AM,10:30:00 AM,10:15:00 AM,12:30:00 AM,3,5,2,2,6022,4512
526172,4,2,39,4102,39,4102,6,1,7,5,3:40:00 PM,3:45:00 PM,3:42:00 PM,12:05:00 AM,2,5,2,0,6017,6014
526172,4,1,39,4102,39,4102,3,1,7,5,7:50:00 AM,7:55:00 AM,7:52:00 AM,12:05:00 AM,2,5,1,1,6014,6017
526172,3,2,38,4102,39,4102,6,1,11,1,5:00:00 PM,5:15:00 PM,5:08:00 PM,12:15:00 AM,0,0,2,0,6138,6014
526172,3,1,39,4102,38,4102,3,1,11,1,7:40:00 AM,8:05:00 AM,7:52:00 AM,12:25:00 AM,0,0,1,1,6014,6138
526172,2,6,39,4102,39,4102,6,2,7,5,3:40:00 PM,3:45:00 PM,3:42:00 PM,12:05:00 AM,2,5,2,0,6049,6014
526172,2,5,39,4102,39,4102,7,2,7,5,3:30:00 PM,3:35:00 PM,3:32:00 PM,12:05:00 AM,2,5,2,0,6014,6049
526172,2,4,38,4102,39,4102,6,2,3,2,10:30:00 AM,10:45:00 AM,10:38:00 AM,12:15:00 AM,4,4,2,2,6138,6014
526172,2,3,39,4102,38,4102,13,2,3,2,9:20:00 AM,9:30:00 AM,9:25:00 AM,12:10:00 AM,2,2,2,0,6014,6138
526172,2,2,39,4102,39,4102,6,2,7,5,7:59:00 AM,8:04:00 AM,8:01:00 AM,12:05:00 AM,2,5,1,1,6049,6014
526172,2,1,39,4102,39,4102,7,2,7,5,7:50:00 AM,7:55:00 AM,7:52:00 AM,12:05:00 AM,2,5,1,1,6014,6049
526171,6,4,39,4102,39,4102,6,2,7,5,7:00:00 PM,7:07:00 PM,7:04:00 PM,12:07:00 AM,4,7,4,0,5956,6014
526171,6,3,39,4102,39,4102,12,2,7,5,6:00:00 PM,6:06:00 PM,6:03:00 PM,12:06:00 AM,4,6,4,0,6014,5956
526171,6,2,38,4102,39,4102,6,2,7,5,11:30:00 AM,11:40:00 AM,11:35:00 AM,12:10:00 AM,7,10,2,0,7008,6014
526171,6,1,39,4102,38,4102,10,2,7,5,11:00:00 AM,11:10:00 AM,11:05:00 AM,12:10:00 AM,7,10,2,2,6014,7008
526171,5,4,39,4102,39,4102,6,2,7,5,7:00:00 PM,7:07:00 PM,7:04:00 PM,12:07:00 AM,4,7,4,0,5956,6014
526171,5,3,39,4102,39,4102,12,2,7,5,6:00:00 PM,6:06:00 PM,6:03:00 PM,12:06:00 AM,4,6,4,0,6014,5956
526171,5,2,38,4102,39,4102,6,2,7,5,11:30:00 AM,11:40:00 AM,11:35:00 AM,12:10:00 AM,7,10,2,0,7008,6014
526171,5,1,39,4102,38,4102,10,2,7,5,11:00:00 AM,11:10:00 AM,11:05:00 AM,12:10:00 AM,7,10,2,2,6014,7008
526171,4,2,13,4102,39,4102,6,1,3,2,6:00:00 PM,6:30:00 PM,6:15:00 PM,12:30:00 AM,3,5,4,0,5291,6014
526171,4,1,39,4102,13,4102,3,1,3,2,1:30:00 PM,1:50:00 PM,1:40:00 PM,12:20:00 AM,2,4,3,0,6014,5291
526171,3,2,38,4102,39,4102,6,1,7,5,6:30:00 PM,7:00:00 PM,6:45:00 PM,12:30:00 AM,20,60,4,0,6305,6014
526171,3,1,39,4102,38,4102,3,1,4,2,1:30:00 PM,1:59:00 PM,1:44:00 PM,12:29:00 AM,2,6,3,0,6014,6305
526171,2,2,98,4102,39,4102,6,0,9,2,7:00:00 PM,8:30:00 PM,7:45:00 PM,1:30:00 AM,10,15,5,0,98000,6014
526171,2,1,39,4102,98,4102,1,0,9,2,8:15:00 AM,9:45:00 AM,9:00:00 AM,1:30:00 AM,10,15,1,1,6014,98000
526171,1,2,98,4102,39,4102,6,0,9,2,7:00:00 PM,8:30:00 PM,7:45:00 PM,1:30:00 AM,10,15,5,0,98000,6014
526171,1,1,39,4102,98,4102,1,0,9,2,8:15:00 AM,9:45:00 AM,9:00:00 AM,1:30:00 AM,10,15,1,1,6014,98000
526156,3,2,38,4102,39,4102,6,1,11,1,3:00:00 PM,3:30:00 PM,3:15:00 PM,12:30:00 AM,0,0,2,0,6138,6014
526156,3,1,39,4102,38,4102,3,1,11,1,12:40:00 PM,1:00:00 PM,12:50:00 PM,12:20:00 AM,0,0,3,0,6014,6138
526156,2,4,44,4102,39,4102,6,2,7,5,7:16:00 PM,7:20:00 PM,7:18:00 PM,12:04:00 AM,2,4,4,0,6039,6014
526156,2,3,39,4102,44,4102,10,2,7,5,7:00:00 PM,7:05:00 PM,7:02:00 PM,12:05:00 AM,2,5,4,0,6014,6039
526156,2,2,1,4102,39,4102,6,2,3,2,12:40:00 PM,1:00:00 PM,12:50:00 PM,12:20:00 AM,3,5,3,0,4336,6014
526156,2,1,39,4102,1,4102,11,2,3,2,12:00:00 PM,12:20:00 PM,12:10:00 PM,12:20:00 AM,3,4,2,0,6014,4336
525741,3,4,39,4102,39,4102,6,2,7,5,8:08:00 PM,8:10:00 PM,8:09:00 PM,12:02:00 AM,1,2,5,0,5995,5954
525741,3,3,39,4102,39,4102,10,2,7,5,8:00:00 PM,8:02:00 PM,8:01:00 PM,12:02:00 AM,1,2,5,0,5954,5995
525741,3,2,39,4102,39,4102,6,1,7,5,3:40:00 PM,3:45:00 PM,3:42:00 PM,12:05:00 AM,3,5,2,0,6017,5954
525741,3,1,39,4102,39,4102,3,1,7,5,7:50:00 AM,7:56:00 AM,7:53:00 AM,12:06:00 AM,3,6,1,1,5954,6017
525741,2,8,39,4102,39,4102,6,2,7,5,8:08:00 PM,8:10:00 PM,8:09:00 PM,12:02:00 AM,1,2,5,0,5995,5954
525741,2,7,39,4102,39,4102,10,2,7,5,8:00:00 PM,8:02:00 PM,8:01:00 PM,12:02:00 AM,1,2,5,0,5954,5995
525741,2,6,39,4102,39,4102,6,2,7,5,3:40:00 PM,3:45:00 PM,3:42:00 PM,12:05:00 AM,3,5,2,0,6017,5954
525741,2,5,39,4102,39,4102,7,2,7,5,3:30:00 PM,3:35:00 PM,3:32:00 PM,12:05:00 AM,3,5,2,0,5954,6017
525741,2,4,1,4102,39,4102,6,2,3,2,1:30:00 PM,1:55:00 PM,1:42:00 PM,12:25:00 AM,2,2,3,0,4390,5954
525741,2,3,39,4102,1,4102,10,2,3,2,11:00:00 AM,11:25:00 AM,11:12:00 AM,12:25:00 AM,1,1,2,2,5954,4390
525741,2,2,39,4102,39,4102,6,2,7,5,8:00:00 AM,8:06:00 AM,8:03:00 AM,12:06:00 AM,3,6,1,1,6017,5954
525741,2,1,39,4102,39,4102,7,2,7,5,7:50:00 AM,7:56:00 AM,7:53:00 AM,12:06:00 AM,3,6,1,1,5954,6017
525741,1,4,39,4102,39,4102,6,2,7,5,8:08:00 PM,8:10:00 PM,8:09:00 PM,12:02:00 AM,1,2,5,0,5995,5954
525741,1,3,39,4102,39,4102,10,2,7,5,8:00:00 PM,8:02:00 PM,8:01:00 PM,12:02:00 AM,1,2,5,0,5954,5995
525741,1,2,31,4102,39,4102,6,0,10,3,4:00:00 PM,5:25:00 PM,4:42:00 PM,1:25:00 AM,1,1,2,0,5061,5954
525741,1,1,39,4102,31,4102,1,0,10,3,9:00:00 AM,11:30:00 AM,10:15:00 AM,2:30:00 AM,2,2,2,2,5954,5061
525733,4,4,38,4102,39,4102,6,2,7,5,3:45:00 PM,3:55:00 PM,3:50:00 PM,12:10:00 AM,5,10,2,0,6305,5954
525733,4,3,39,4102,38,4102,7,2,7,5,2:00:00 PM,2:10:00 PM,2:05:00 PM,12:10:00 AM,5,10,2,0,5954,6305
525733,4,2,38,4102,39,4102,6,1,7,5,1:15:00 PM,1:25:00 PM,1:20:00 PM,12:10:00 AM,5,10,3,0,6305,5954
525733,4,1,39,4102,38,4102,3,1,7,5,7:50:00 AM,8:00:00 AM,7:55:00 AM,12:10:00 AM,5,10,1,1,5954,6305
525733,3,8,38,4102,39,4102,6,2,7,5,3:45:00 PM,3:55:00 PM,3:50:00 PM,12:10:00 AM,5,10,2,0,6305,5954
525733,3,7,39,4102,38,4102,7,2,7,5,3:30:00 PM,3:40:00 PM,3:35:00 PM,12:10:00 AM,5,10,2,0,5954,6305
525733,3,6,38,4102,39,4102,6,2,7,5,2:15:00 PM,2:25:00 PM,2:20:00 PM,12:10:00 AM,5,10,2,0,6305,5954
525733,3,5,39,4102,38,4102,7,2,7,5,2:00:00 PM,2:10:00 PM,2:05:00 PM,12:10:00 AM,5,10,2,0,5954,6305
525733,3,4,38,4102,39,4102,6,2,7,5,1:15:00 PM,1:25:00 PM,1:20:00 PM,12:10:00 AM,5,10,3,0,6305,5954
525733,3,3,39,4102,38,4102,7,2,7,5,1:00:00 PM,1:10:00 PM,1:05:00 PM,12:10:00 AM,5,10,3,0,5954,6305
525733,3,2,38,4102,39,4102,6,2,7,5,8:05:00 AM,8:15:00 AM,8:10:00 AM,12:10:00 AM,5,10,1,1,6305,5954
525733,3,1,39,4102,38,4102,7,2,7,5,7:50:00 AM,8:00:00 AM,7:55:00 AM,12:10:00 AM,5,10,1,1,5954,6305
525733,2,2,20,4102,39,4102,6,0,4,2,7:00:00 PM,8:00:00 PM,7:30:00 PM,1:00:00 AM,4,5,4,0,4321,5954
525733,2,1,39,4102,20,4102,1,0,4,2,6:40:00 AM,7:30:00 AM,7:05:00 AM,12:50:00 AM,4,4,1,1,5954,4321
525733,1,2,13,4102,39,4102,6,2,7,5,7:00:00 PM,7:30:00 PM,7:15:00 PM,12:30:00 AM,25,30,4,0,5317,5954
525733,1,1,39,4102,13,4102,4,2,7,5,4:10:00 PM,4:30:00 PM,4:20:00 PM,12:20:00 AM,25,20,2,0,5954,5317
525731,4,2,54,4101,39,4102,6,0,4,2,9:50:00 PM,10:30:00 PM,10:10:00 PM,12:40:00 AM,3,4,5,0,541,5954
525731,4,1,39,4102,54,4101,1,0,4,2,10:00:00 AM,10:40:00 AM,10:20:00 AM,12:40:00 AM,1,1,2,2,5954,541
525731,3,2,46,4101,39,4102,6,2,4,2,4:30:00 PM,5:10:00 PM,4:50:00 PM,12:40:00 AM,2,3,2,0,550,5954
525731,3,1,39,4102,46,4101,11,2,4,2,10:30:00 AM,11:10:00 AM,10:50:00 AM,12:40:00 AM,1,2,2,2,5954,550
525731,2,2,46,4101,39,4102,6,0,4,2,5:00:00 PM,5:45:00 PM,5:22:00 PM,12:45:00 AM,2,3,2,0,550,5954
525731,2,1,39,4102,46,4101,1,0,4,2,8:20:00 AM,9:00:00 AM,8:40:00 AM,12:40:00 AM,1,2,1,1,5954,550
525731,1,4,38,4102,39,4102,6,0,8,4,6:00:00 PM,6:30:00 PM,6:15:00 PM,12:30:00 AM,0,0,4,0,6124,5954
525731,1,3,39,4102,38,4102,1,0,8,4,2:00:00 PM,2:15:00 PM,2:08:00 PM,12:15:00 AM,0,0,2,0,5954,6124
525731,1,2,1,4102,39,4102,6,2,3,2,11:10:00 AM,11:30:00 AM,11:20:00 AM,12:20:00 AM,2,3,2,2,4704,5954
525731,1,1,39,4102,1,4102,10,2,4,2,10:00:00 AM,10:25:00 AM,10:12:00 AM,12:25:00 AM,1,1,2,2,5954,4704
525692,3,2,46,4101,39,4102,6,1,4,2,5:10:00 PM,5:50:00 PM,5:30:00 PM,12:40:00 AM,1,1,4,0,1207,5948
525692,3,1,39,4102,46,4101,3,1,4,2,7:30:00 AM,8:40:00 AM,8:05:00 AM,1:10:00 AM,1,1,1,1,5948,1207
525692,2,4,39,4102,39,4102,6,2,7,5,6:08:00 PM,6:10:00 PM,6:09:00 PM,12:02:00 AM,1,2,4,0,5948,5948
525692,2,3,39,4102,39,4102,10,2,7,5,6:00:00 PM,6:02:00 PM,6:01:00 PM,12:02:00 AM,1,2,4,0,5948,5948
525692,2,2,63,4101,39,4102,6,2,1,1,3:30:00 PM,4:00:00 PM,3:45:00 PM,12:30:00 AM,0,0,2,0,2944,5948
525692,2,1,39,4102,63,4101,10,2,1,1,1:00:00 PM,1:35:00 PM,1:18:00 PM,12:35:00 AM,0,0,3,0,5948,2944
525692,1,2,37,4102,39,4102,6,0,1,1,6:00:00 PM,6:10:00 PM,6:05:00 PM,12:10:00 AM,0,0,4,0,6058,5948
525692,1,1,39,4102,37,4102,1,0,1,1,6:00:00 AM,6:15:00 AM,6:08:00 AM,12:15:00 AM,0,0,5,0,5948,6058
525537,4,3,15,4102,39,4102,6,2,2,1,2:10:00 PM,2:20:00 PM,2:15:00 PM,12:10:00 AM,0,0,2,0,5476,5856
