IDFolio,IDPersona,AgnoNacimiento,IDSexo,IDRelacionJefeHogar,IDEstudios,IDLugarEstudios,IDTituloProfesional,IDActividad,IDJornadaTrabajo,Ingreso,IDTipoIngreso,Observaciones,EfectuaViajes,NumeroViajes,Factor
610588,1,1940,2,0,3,-1,0,9,0,105000,1,1,1,2,26.0104076006116
610589,1,1979,2,0,4,-1,0,3,1,200000,1,0,1,2,21.674710024485474
610589,2,1997,1,2,3,-1,0,5,3,80000,1,1,0,0,19.54068688309915
610589,3,1999,2,2,3,4,0,14,0,0,2,0,1,2,20.66245699066852
610589,4,2003,2,2,3,4,0,14,0,0,2,0,1,2,20.66245699066852
610589,5,2005,1,2,3,4,0,14,0,0,2,0,1,2,26.572098142714516
610613,1,1976,1,0,4,-1,0,4,1,400000,1,1,1,9,22.701859436666325
610613,2,1975,2,1,4,-1,0,11,0,0,2,0,1,4,21.674710024485474
610613,3,1997,1,2,3,4,0,14,0,0,2,0,1,2,19.54068688309915
610613,4,2000,1,2,3,4,0,14,0,0,2,0,1,2,26.572098142714516
610613,5,2004,2,2,3,4,0,14,0,0,2,1,0,0,20.66245699066852
610615,1,1971,2,0,5,-1,1,4,2,180000,1,1,1,6,34.051339094920486
610615,2,2007,2,2,2,2,0,14,0,0,2,0,1,2,29.036891474265353
610615,3,2009,2,2,2,2,0,14,0,0,2,0,1,2,29.036891474265353
